,index,PARAMETER,RAW_VALUE
0,2000-01-01,PM10,11.609015648717014
205,2000-01-01,PM25,5.551436287748588
1,2000-02-01,PM10,15.099788137827172
206,2000-02-01,PM25,6.09780366460381
2,2000-03-01,PM10,16.364303940160134
207,2000-03-01,PM25,5.109642220123806
3,2000-04-01,PM10,14.84437482409229
208,2000-04-01,PM25,5.655157623847309
4,2000-05-01,PM10,11.954582070189806
209,2000-05-01,PM25,4.388871224165342
5,2000-06-01,PM10,13.31671093187383
210,2000-06-01,PM25,5.229176254026691
6,2000-07-01,PM10,13.061462844520618
211,2000-07-01,PM25,5.269445259759319
212,2000-08-01,PM25,5.851469420174742
7,2000-08-01,PM10,14.767809026596849
213,2000-09-01,PM25,5.828620211290151
8,2000-09-01,PM10,14.62490987320432
214,2000-10-01,PM25,6.916552667578659
9,2000-10-01,PM10,14.367563597516192
215,2000-11-01,PM25,8.54741812336749
10,2000-11-01,PM10,15.140976543800862
11,2000-12-01,PM10,12.684009904215808
216,2000-12-01,PM25,6.475933295433011
12,2001-01-01,PM10,11.967744035413208
217,2001-01-01,PM25,6.318132464712269
13,2001-02-01,PM10,15.571962880632299
218,2001-02-01,PM25,7.565779610194903
219,2001-03-01,PM25,5.045532716403243
14,2001-03-01,PM10,15.124499971877249
220,2001-04-01,PM25,4.517381772627623
15,2001-04-01,PM10,15.144607921360866
221,2001-05-01,PM25,4.429092488059053
16,2001-05-01,PM10,13.010012515644556
222,2001-06-01,PM25,3.5994248498688997
17,2001-06-01,PM10,11.050918254625794
18,2001-07-01,PM10,13.288534058094106
223,2001-07-01,PM25,4.578216082408368
19,2001-08-01,PM10,16.38428079502205
224,2001-08-01,PM25,6.786086232034993
225,2001-09-01,PM25,5.251790399205842
20,2001-09-01,PM10,14.49313508004077
226,2001-10-01,PM25,5.003020318506315
21,2001-10-01,PM10,12.479036548693037
22,2001-11-01,PM10,12.801185069329563
227,2001-11-01,PM25,6.226125997719499
228,2001-12-01,PM25,5.839587932303164
23,2001-12-01,PM10,10.626957690509585
229,2002-01-01,PM25,5.791204489103484
24,2002-01-01,PM10,9.653526367812082
230,2002-02-01,PM25,5.569176625852335
25,2002-02-01,PM10,11.940366668872857
231,2002-03-01,PM25,6.391366254611352
26,2002-03-01,PM10,14.183917778621273
232,2002-04-01,PM25,5.669371196754564
27,2002-04-01,PM10,16.95294956335769
28,2002-05-01,PM10,12.906603055669379
233,2002-05-01,PM25,4.096376562320835
234,2002-06-01,PM25,5.465714285714285
29,2002-06-01,PM10,15.451285296688063
30,2002-07-01,PM10,14.978290844016781
235,2002-07-01,PM25,4.931159011398262
31,2002-08-01,PM10,16.773083763375027
236,2002-08-01,PM25,4.972645203393517
32,2002-09-01,PM10,13.248752079866888
237,2002-09-01,PM25,4.257661148291652
33,2002-10-01,PM10,17.177359893429163
238,2002-10-01,PM25,7.794871794871795
239,2002-11-01,PM25,10.10329617929308
34,2002-11-01,PM10,18.456992777413
35,2002-12-01,PM10,12.867448715276744
240,2002-12-01,PM25,6.803275832026485
36,2003-01-01,PM10,13.174563442509115
241,2003-01-01,PM25,6.974617857747194
37,2003-02-01,PM10,16.223672594274184
242,2003-02-01,PM25,8.550094633372002
38,2003-03-01,PM10,14.007064541652538
243,2003-03-01,PM25,4.619443572848028
244,2003-04-01,PM25,4.226383994543594
39,2003-04-01,PM10,12.575736707698487
245,2003-05-01,PM25,4.785702438215293
40,2003-05-01,PM10,14.611122005883177
246,2003-06-01,PM25,5.389427658501037
41,2003-06-01,PM10,17.11598961287049
247,2003-07-01,PM25,5.650915440787385
42,2003-07-01,PM10,16.69317090237284
43,2003-08-01,PM10,20.448525607863424
248,2003-08-01,PM25,9.263581699346405
249,2003-09-01,PM25,6.319229446164431
44,2003-09-01,PM10,16.3416344010325
45,2003-10-01,PM10,15.613934289061193
250,2003-10-01,PM25,6.623487507202347
46,2003-11-01,PM10,16.40283304626715
251,2003-11-01,PM25,9.346854821912101
252,2003-12-01,PM25,5.514871949989917
47,2003-12-01,PM10,10.62712454318696
48,2004-01-01,PM10,10.785535246571099
253,2004-01-01,PM25,5.560015937842414
254,2004-02-01,PM25,6.659134891992259
49,2004-02-01,PM10,14.57033070103779
255,2004-03-01,PM25,5.185951631930791
50,2004-03-01,PM10,17.49466570812365
51,2004-04-01,PM10,17.24768379256407
256,2004-04-01,PM25,5.413891531874405
257,2004-05-01,PM25,4.612073619631902
52,2004-05-01,PM10,14.218536309692004
53,2004-06-01,PM10,17.616267064357004
258,2004-06-01,PM25,6.755062778452815
259,2004-07-01,PM25,6.3983654460779835
54,2004-07-01,PM10,16.78994598852256
260,2004-08-01,PM25,7.310760918505178
55,2004-08-01,PM10,17.938758551920895
56,2004-09-01,PM10,14.298215709454816
261,2004-09-01,PM25,4.5688521754173514
57,2004-10-01,PM10,15.915965274469324
262,2004-10-01,PM25,6.6851540851456885
263,2004-11-01,PM25,6.629902271861911
58,2004-11-01,PM10,13.004587403529602
59,2004-12-01,PM10,10.799568965517242
264,2004-12-01,PM25,5.483533628505166
60,2005-01-01,PM10,12.951870677006918
265,2005-01-01,PM25,6.529010662038185
61,2005-02-01,PM10,22.27790730736423
266,2005-02-01,PM25,7.54719712255461
267,2005-03-01,PM25,5.125271570453135
62,2005-03-01,PM10,17.543052661367085
268,2005-04-01,PM25,4.115015216789851
63,2005-04-01,PM10,15.524460091429772
64,2005-05-01,PM10,15.983645165510925
269,2005-05-01,PM25,5.033037965014132
65,2005-06-01,PM10,12.376151389585369
270,2005-06-01,PM25,3.6599188673242127
66,2005-07-01,PM10,13.855948602833037
271,2005-07-01,PM25,4.326254303508568
67,2005-08-01,PM10,17.359544762445484
272,2005-08-01,PM25,6.242125907040596
273,2005-09-01,PM25,4.356465005931198
68,2005-09-01,PM10,13.43714472822528
69,2005-10-01,PM10,13.428295272952214
274,2005-10-01,PM25,5.410396716826265
275,2005-11-01,PM25,5.500214868929953
70,2005-11-01,PM10,12.191652470187394
276,2005-12-01,PM25,7.378296568163759
71,2005-12-01,PM10,13.189524572787674
277,2006-01-01,PM25,4.490162499524299
72,2006-01-01,PM10,9.24888272461088
278,2006-02-01,PM25,5.820062221474817
73,2006-02-01,PM10,16.561477045908184
74,2006-03-01,PM10,16.53325569358178
279,2006-03-01,PM25,5.527688295750882
280,2006-04-01,PM25,4.404860626462498
75,2006-04-01,PM10,15.432542186856908
281,2006-05-01,PM25,4.673619388160509
76,2006-05-01,PM10,15.104254566241119
282,2006-06-01,PM25,4.3244320282650675
77,2006-06-01,PM10,14.919755790395882
283,2006-07-01,PM25,5.326046366889684
78,2006-07-01,PM10,16.347686669720566
79,2006-08-01,PM10,16.452660958161715
284,2006-08-01,PM25,5.348277197057685
80,2006-09-01,PM10,16.454313483758135
285,2006-09-01,PM25,5.915814986871339
81,2006-10-01,PM10,15.46580376240882
286,2006-10-01,PM25,6.1608909987219285
287,2006-11-01,PM25,5.958331807696532
82,2006-11-01,PM10,11.822183406113536
83,2006-12-01,PM10,10.044701326803713
288,2006-12-01,PM25,5.204032784507144
84,2007-01-01,PM10,12.118417301683039
289,2007-01-01,PM25,6.317393512807489
290,2007-02-01,PM25,5.276705408846356
85,2007-02-01,PM10,11.934481092183166
291,2007-03-01,PM25,3.366036795707167
86,2007-03-01,PM10,13.304914595622153
292,2007-04-01,PM25,4.014375029258629
87,2007-04-01,PM10,13.590634174148498
88,2007-05-01,PM10,15.242523898442078
293,2007-05-01,PM25,4.4244295262145865
294,2007-06-01,PM25,3.841212277127972
89,2007-06-01,PM10,12.4313238499484
90,2007-07-01,PM10,15.03170690193187
295,2007-07-01,PM25,4.85587242112175
91,2007-08-01,PM10,13.965080154458226
296,2007-08-01,PM25,4.241669355906537
